project,source_internal_path,selected_bundle_path,bytes,sha256,purpose,caution
build123d,LICENSE,upstream_reference/build123d/LICENSE,11358,cfc7749b96f63bd31c3c42b5c471bf756814053e847c10f3eb003417bc523d30,primary CAD API/topology/tessellation/export reference,REFERENCE_ONLY; product imports forbidden until runtime/adaptor adoption
build123d,NOTICE,upstream_reference/build123d/NOTICE,625,7b7c0e58f119b8e17eba8faa015ab48dedd1131836d30c8a56fa6dbf56d22ce0,primary CAD API/topology/tessellation/export reference,REFERENCE_ONLY; product imports forbidden until runtime/adaptor adoption
build123d,README.md,upstream_reference/build123d/README.md,11849,3abc2803abe8a35a6e447e8819fdaa10d29f915273caaca9d05cdbd402e89ff0,primary CAD API/topology/tessellation/export reference,REFERENCE_ONLY; product imports forbidden until runtime/adaptor adoption
build123d,pyproject.toml,upstream_reference/build123d/pyproject.toml,3305,5ca1ad9e05261caf0a830a7d9081dcbb687bc3406d1416ef4df667accd67d0e0,primary CAD API/topology/tessellation/export reference,REFERENCE_ONLY; product imports forbidden until runtime/adaptor adoption
build123d,src/build123d/__init__.py,upstream_reference/build123d/src/build123d/__init__.py,5125,ec93166a7140623dce53bddb78395af74ca2f16311f088a4aa701c235aaad0d9,primary CAD API/topology/tessellation/export reference,REFERENCE_ONLY; product imports forbidden until runtime/adaptor adoption
build123d,src/build123d/build_common.py,upstream_reference/build123d/src/build123d/build_common.py,66519,7942f84aa4cec9981c51c68ba38711c682938e224f396804f1d81268ca652c0e,primary CAD API/topology/tessellation/export reference,REFERENCE_ONLY; product imports forbidden until runtime/adaptor adoption
build123d,src/build123d/build_enums.py,upstream_reference/build123d/src/build123d/build_enums.py,10943,4669e51ecb8991529600a5723a1584d53964d767761e4e5d33023be09c4a5820,primary CAD API/topology/tessellation/export reference,REFERENCE_ONLY; product imports forbidden until runtime/adaptor adoption
build123d,src/build123d/build_line.py,upstream_reference/build123d/src/build123d/build_line.py,3874,2cd4b84b3f26ccc93e1fd1f24041c4f9dfe14375be1c13f7684d561d8d6a78e5,primary CAD API/topology/tessellation/export reference,REFERENCE_ONLY; product imports forbidden until runtime/adaptor adoption
build123d,src/build123d/build_part.py,upstream_reference/build123d/src/build123d/build_part.py,4519,8a8593d73e30dd6b371b8af1ce2017bc1b2c0f88c663de86caf69db612edae4c,primary CAD API/topology/tessellation/export reference,REFERENCE_ONLY; product imports forbidden until runtime/adaptor adoption
build123d,src/build123d/build_sketch.py,upstream_reference/build123d/src/build123d/build_sketch.py,4092,bf688108adefb58bd3c51cc01b4f75d05f709ff8c2b41e5f312c38b2bb0bc4d6,primary CAD API/topology/tessellation/export reference,REFERENCE_ONLY; product imports forbidden until runtime/adaptor adoption
build123d,src/build123d/geometry.py,upstream_reference/build123d/src/build123d/geometry.py,137071,be070f12bcdf8ef1b8dd19733b663f7cb9f6405cdc5a681f4ad545ce9ed1ca64,primary CAD API/topology/tessellation/export reference,REFERENCE_ONLY; product imports forbidden until runtime/adaptor adoption
build123d,src/build123d/joints.py,upstream_reference/build123d/src/build123d/joints.py,29136,ecc79982e39ef38eb8aef55124cc7f45f7f1a07f96df11c5eb7fa851663e0633,primary CAD API/topology/tessellation/export reference,REFERENCE_ONLY; product imports forbidden until runtime/adaptor adoption
build123d,src/build123d/objects_curve.py,upstream_reference/build123d/src/build123d/objects_curve.py,78724,09a98e314ecc38780c8b28d90013b7c542a06400f843b4f55d84b00308230702,primary CAD API/topology/tessellation/export reference,REFERENCE_ONLY; product imports forbidden until runtime/adaptor adoption
build123d,src/build123d/objects_part.py,upstream_reference/build123d/src/build123d/objects_part.py,19385,015d764646770c75fffdb5281660bc7a892b9d765af77369c18ccd5a1786de72,primary CAD API/topology/tessellation/export reference,REFERENCE_ONLY; product imports forbidden until runtime/adaptor adoption
build123d,src/build123d/objects_sketch.py,upstream_reference/build123d/src/build123d/objects_sketch.py,29652,a0e30ea1c48a7b6579a7207e1e6e9e98f9d10f2c449c29294a9236bff866d82e,primary CAD API/topology/tessellation/export reference,REFERENCE_ONLY; product imports forbidden until runtime/adaptor adoption
build123d,src/build123d/operations_generic.py,upstream_reference/build123d/src/build123d/operations_generic.py,40502,7012d9f5030172e2381a71cd9db0243e841c591d9c9f043387238df105b63b72,primary CAD API/topology/tessellation/export reference,REFERENCE_ONLY; product imports forbidden until runtime/adaptor adoption
build123d,src/build123d/operations_part.py,upstream_reference/build123d/src/build123d/operations_part.py,26750,cd9ce2c261b24dc7f675b567c69e39c9368988e072cbf0e96cc619f6e5a0e831,primary CAD API/topology/tessellation/export reference,REFERENCE_ONLY; product imports forbidden until runtime/adaptor adoption
build123d,src/build123d/exporters3d.py,upstream_reference/build123d/src/build123d/exporters3d.py,24693,739c15a20e3c335ee643ed1fd7537ea37b4cb1ac67a4c94974db4c3f4a14e4df,primary CAD API/topology/tessellation/export reference,REFERENCE_ONLY; product imports forbidden until runtime/adaptor adoption
build123d,src/build123d/topology/__init__.py,upstream_reference/build123d/src/build123d/topology/__init__.py,2438,1ec084e5522178c44729abe3db9daf26e7a2e699af15e24dcb409eb6937061d2,primary CAD API/topology/tessellation/export reference,REFERENCE_ONLY; product imports forbidden until runtime/adaptor adoption
build123d,src/build123d/topology/kernel.py,upstream_reference/build123d/src/build123d/topology/kernel.py,1479,89dcf441306f7deeb28072d4e322a7c8ab6fe7340a399679197ff686f4555649,primary CAD API/topology/tessellation/export reference,REFERENCE_ONLY; product imports forbidden until runtime/adaptor adoption
