stage,checkpoint,source_preservation,remote_self_admission,local_runtime_admission,functional_qualification,stage_completion,next,blocking_reason
R0A,CP0,PASS,PASS,PASS_X2,PASS,R0A_CP0_COMPLETE,START_R0A_CP1,NONE
R0A,CP1,PASS,NOT_APPLICABLE,REUSE_CP0_FRESH_PASS,PASS,R0A_CP1_COMPLETE,START_R0A_CP2,NONE
R0A,CP2,PASS,NOT_APPLICABLE,REUSE_CP0_FRESH_PASS_X2,PASS,R0A_CP2_COMPLETE,START_R0A_CP3,NONE
R0A,CP3,PASS,NOT_APPLICABLE,REUSE_CP0_FRESH_PASS_X2,PASS,R0A_CP3_COMPLETE,START_R0A_CP4,NONE
R0A,CP4,PASS,NOT_APPLICABLE,PASS_X2,PASS,R0A_COMPLETE,START_R0B_CP1_BY_EXPLICIT_APPROVAL,NONE
R0B,CP1,PASS,NOT_APPLICABLE,REUSE_R0A_RUNTIME_PASS,PASS,R0B_CP1_COMPLETE,START_R0B_CP2_BY_EXPLICIT_APPROVAL,NONE
R0B,CP2,PASS,NOT_APPLICABLE,REUSE_R0A_RUNTIME_PASS,PASS,R0B_CP2_COMPLETE,START_R0B_CP3_BY_EXPLICIT_APPROVAL,NONE
R0B,CP3,PASS,NOT_APPLICABLE,REUSE_R0A_RUNTIME_PASS,PASS,R0B_CP3_COMPLETE,START_R0B_CP4_BY_EXPLICIT_APPROVAL,NONE
R0B,CP4,PASS,NOT_APPLICABLE,REUSE_R0A_RUNTIME_PASS,PASS,R0B_COMPLETE,START_R0C_CP1_BY_EXPLICIT_APPROVAL,NONE
R0C,CP1,PASS,NOT_APPLICABLE,REUSE_R0A_CP0_EXACT_RUNTIME,PASS,R0C_CP1_COMPLETE,START_R0C_CP2,NONE
